source_address,lei,entity_name,lei_record_url,error
IRON MOUNTAIN KINGSFORD COMMUNITY Credit Union,,,,no_match
LINCOLN MAINE Credit Union,,,,no_match
FRANKLIN-SOMERSET Credit Union,,,,no_match
WESTCONSIN Credit Union,,,,no_match
WCLA Credit Union,,,,no_match
CELCO COMMUNITY Credit Union,,,,no_match
IRONWORKERS USA Credit Union,,,,no_match
LEADING EDGE Credit Union,,,,no_match
TRIUS Credit Union,,,,no_match
CENTURYFIRST Credit Union,,,,no_match
MAUI Credit Union,,,,no_match
MEDINA COUNTY Credit Union,,,,no_match
HAWAII COUNTY EMPLOYEES Credit Union,,,,no_match
HEART OF LOUISIANA Credit Union,,,,no_match
MEMBERS EXCHANGE Credit Union,,,,no_match
FLORIDA WEST COAST Credit Union,,,,no_match
MARKET USA Credit Union,,,,no_match
NORTH ALABAMA EDUCATORS Credit Union,,,,no_match
PACIFIC HORIZON Credit Union,,,,no_match
EMPORIA STATE Credit Union,,,,no_match
CENTRAL MAINE Credit Union,,,,no_match
AFLAC Credit Union,,,,no_match
KAIPERM NORTHWEST Credit Union,,,,no_match
OZARK Credit Union,,,,no_match
FINANCIALEDGE  Credit Union,,,,no_match
TRU FI Credit Union,,,,no_match
LENCO Credit Union,,,,no_match
HEALTHCARE SYSTEMS Credit Union,,,,no_match
ARCADIA Credit Union,,,,no_match
TRUST Credit Union,,,,no_match
UPPER CUMBERLAND Credit Union,,,,no_match
KRAFTMAN Credit Union,,,,no_match
LIBERTY SAVINGS Credit Union,,,,no_match
INTERFAITH Credit Union,,,,no_match
WEST VIRGINIA Credit Union,,,,no_match
BREAKWATER Credit Union,,,,no_match
TEXOMA EDUCATORS Credit Union,,,,no_match
INTEGRA FIRST Credit Union,,,,no_match
K V Credit Union,,,,no_match
CONNECTED Credit Union,,,,no_match
UNIVERSITY OF NEBRASKA Credit Union,,,,no_match
MEMBERS ADVANTAGE Credit Union,,,,no_match
HEALTHCARE EMPLOYEES Credit Union,,,,no_match
PREMIER FINANCIAL Credit Union,,,,no_match
FIREFIGHTERS Credit Union,,,,no_match
MEMBERS 1ST OF NJ Credit Union,,,,no_match
UFIRST Credit Union,,,,no_match
HERITAGE VALLEY Credit Union,,,,no_match
BAPTIST HEALTH SOUTH FLORIDA Credit Union,,,,no_match
TRI BORO Credit Union,,,,no_match
STRAITS AREA Credit Union,,,,no_match
N A E Credit Union,,,,no_match
WAILUKU Credit Union,,,,no_match
SUN Credit Union,,,,no_match
COMMUNITY ONE CREDIT UNION OF OHIO Credit Union,,,,no_match
ALASKA AIR GROUP Credit Union,,,,no_match
TRADEMARK Credit Union,,,,no_match
UNITED COMMUNITY Credit Union,,,,no_match
CHOICE ONE COMMUNITY Credit Union,,,,no_match
CENLA Credit Union,,,,no_match
C-B-W SCHOOLS Credit Union,,,,no_match
OAKDALE Credit Union,,,,no_match
TRUENERGY Credit Union,,,,no_match
